execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,8154,"[15.666666666666666,1][13.714285714285715,2][8.8,31][8.75,34]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,5224,"[13.714285714285715,1][10.818181818181818,11][10.666666666666666,14][9.777777777777779,154][9.75,158][9.666666666666666,251][8.8,275][8.333333333333332,277]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,3918,"[13.8,1][10.818181818181818,2][10.666666666666666,5][8.8,97][8.75,206]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,9737,"[13.8,1][13.714285714285715,2][10.818181818181818,135][8.8,424][8.75,434][8.333333333333332,7374]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.333333333333330,7909,"[13.714285714285715,1][12.818181818181818,26][10.818181818181818,67][10.666666666666666,76][8.75,263][8.333333333333332,5366]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,7475,"[13.8,1][13.714285714285715,2][8.8,49][8.75,53]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,1705,"[13.714285714285715,1][10.818181818181818,19][8.8,232][8.75,366]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,12582,"[17.5,1][13.8,2][13.666666666666666,8][10.88888888888889,224][9.0,1131]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,7011,"[17.5,1][13.8,131][13.666666666666666,150][10.857142857142858,159][10.777777777777779,223][10.6,228][10.333333333333332,394][9.0,760]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,3149,"[17.5,1][13.8,10][13.666666666666666,77][10.88888888888889,146][9.0,188]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,1449,"[17.5,1][13.8,3][13.666666666666666,16][10.88888888888889,87][9.0,156][8.88888888888889,1383]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,10.333333333333300,334,"[13.8,1][13.666666666666666,8][10.88888888888889,47][10.666666666666666,55][10.333333333333332,294]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,12983,"[17.5,1][13.8,24][10.777777777777779,26][9.0,34]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,1136,"[16.5,1][13.8,3][13.666666666666666,72][12.8,114][10.88888888888889,214][10.714285714285715,827][10.333333333333332,828][9.0,833]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,12489,"[13.8,1][10.90909090909091,11][10.857142857142858,14][10.666666666666666,100][10.333333333333332,106][9.0,530]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6376,"[17.5,1][13.8,5][13.666666666666666,10][10.88888888888889,35][10.857142857142858,50][10.333333333333332,157][9.875,245][9.6,246][9.0,1709]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,1949,"[17.5,1][13.8,12][12.857142857142858,29][10.857142857142858,38][9.0,60]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,9663,"[17.5,1][13.8,7][12.857142857142858,87][10.90909090909091,289][10.714285714285715,2800][10.666666666666666,2806][10.333333333333332,2807][9.6,3978][9.0,5881]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,10.333333333333300,412,"[17.5,1][13.8,2][12.857142857142858,21][10.333333333333332,80]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,5231,"[17.5,1][13.8,27][12.857142857142858,114][10.857142857142858,268][9.0,288]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,8221,"[17.5,1][13.8,17][10.90909090909091,30][10.88888888888889,35][9.0,149][8.88888888888889,8220]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,2407,"[17.5,1][13.8,3][9.833333333333334,44][9.75,48][9.6,68][9.0,78][8.88888888888889,1149]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,9497,"[13.8,1][10.90909090909091,13][10.666666666666666,21][9.0,49]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,5318,"[17.5,1][13.8,5][13.666666666666666,109][12.8,215][9.0,244]"
