execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1085,"[1.6666666666666665,1][1.3333333333333333,3]",12/28,"[0/28,1][6/28,2][10/28,3][11/28,222][12/28,426]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,726,"[1.3333333333333333,1]",12/28,"[0/28,1][8/28,2][10/28,3][11/28,568][12/28,582]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1221,"[3.333333333333333,1][1.6666666666666665,3][1.3333333333333333,5]",12/28,"[0/28,1][10/28,2][12/28,61]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1125,"[3.333333333333333,1][1.6666666666666665,3][1.6,5][1.3333333333333333,12]",12/28,"[0/28,1][2/28,2][10/28,4][12/28,112]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1346,"[1.6666666666666665,1][1.3333333333333333,2]",10/28,"[0/28,1][5/28,2][10/28,3]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1160,"[1.6666666666666665,1][1.6,4][1.3333333333333333,5]",12/28,"[0/28,1][9/28,2][10/28,3][11/28,436][12/28,651]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1277,"[3.333333333333333,1][1.6666666666666665,3][1.3333333333333333,5]",12/28,"[0/28,1][9/28,2][10/28,3][11/28,454][12/28,460]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1198,"[3.333333333333333,1][1.6,2][1.3333333333333333,3]",12/28,"[0/28,1][9/28,2][11/28,5][12/28,6]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,955,"[1.6666666666666665,1][1.3333333333333333,3]",12/28,"[0/28,1][8/28,2][9/28,3][10/28,4][11/28,383][12/28,523]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1085,"[3.333333333333333,1][1.3333333333333333,2]",12/28,"[0/28,1][10/28,2][11/28,72][12/28,254]"
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,877,"[1.6666666666666665,1][1.6,5][1.3333333333333333,6]",11/28,"[0/28,1][8/28,2][10/28,3][11/28,16]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,868,"[1.6666666666666665,1][1.6,3][1.3333333333333333,6]",12/28,"[0/28,1][10/28,2][11/28,193][12/28,597]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,969,"[3.5,1][1.6666666666666665,2][1.3333333333333333,8]",12/28,"[0/28,1][4/28,2][9/28,3][10/28,4][11/28,7][12/28,375]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,828,"[1.6666666666666665,1][1.6,3][1.3333333333333333,8]",12/28,"[0/28,1][9/28,2][10/28,3][12/28,263]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,709,"[1.6666666666666665,1][1.6,3][1.3333333333333333,8]",11/28,"[0/28,1][9/28,2][10/28,3][11/28,94]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,881,"[1.6666666666666665,1][1.3333333333333333,5]",10/28,"[0/28,1][8/28,2][10/28,3]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,768,"[1.6,1][1.3333333333333333,8]",12/28,"[0/28,1][6/28,2][10/28,4][12/28,94]"
24,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,931,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,3]",11/28,"[0/28,1][10/28,2][11/28,5]"
25,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,1056,"[1.3333333333333333,1]",12/28,"[4/28,1][9/28,2][10/28,4][12/28,216]"
26,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,801,"[3.5,1][1.6,2][1.3333333333333333,3]",12/28,"[0/28,1][2/28,2][9/28,3][10/28,5][12/28,16]"
27,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,767,"[3.5,1][1.6666666666666665,2][1.3333333333333333,3]",12/28,"[0/28,1][6/28,2][10/28,3][11/28,304][12/28,360]"
28,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,938,"[3.5,1][1.6666666666666665,2][1.3333333333333333,4]",12/28,"[0/28,1][2/28,2][11/28,3][12/28,4]"
29,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,805,"[1.6666666666666665,1][1.3333333333333333,4]",12/28,"[0/28,1][9/28,2][10/28,3][11/28,24][12/28,127]"
